iter	Logloss	Accuracy
0	0.6819924624	0.6594117647
1	0.6719072096	0.6569117647
2	0.6642768696	0.6573529412
3	0.6578437456	0.6579411765
4	0.6518344367	0.6560294118
5	0.6471174801	0.6557352941
6	0.6431091186	0.6561764706
7	0.6394704049	0.6551470588
8	0.636575805	0.6558823529
9	0.6334961373	0.6576470588
10	0.6308159762	0.6572058824
11	0.6287745287	0.6572058824
12	0.6269581461	0.6572058824
13	0.6253374973	0.6580882353
14	0.6240950133	0.6582352941
15	0.6224885946	0.6595588235
16	0.62137444	0.6589705882
17	0.6203265913	0.6602941176
18	0.6194625409	0.6598529412
19	0.6185006135	0.6604411765
20	0.6175483873	0.6613235294
21	0.6167137319	0.6611764706
22	0.6161930738	0.6611764706
23	0.6153994818	0.6622058824
24	0.6148532871	0.6619117647
25	0.6139417318	0.6633823529
26	0.6134056858	0.6636764706
27	0.6127999044	0.6636764706
28	0.6120425963	0.6644117647
29	0.6113591918	0.6642647059
30	0.610825272	0.6642647059
31	0.6102988864	0.6651470588
32	0.6097278559	0.6658823529
33	0.6091034756	0.6664705882
34	0.6088366015	0.6660294118
35	0.6084009661	0.6673529412
36	0.6080766149	0.6670588235
37	0.6077372789	0.6675
38	0.607256117	0.6679411765
39	0.6069255434	0.6669117647
40	0.606329445	0.6680882353
41	0.6057202537	0.6692647059
42	0.6049399377	0.6697058824
43	0.6045572443	0.6711764706
44	0.6040133117	0.6719117647
45	0.6035216927	0.6725
46	0.6027989042	0.6739705882
47	0.602441658	0.6736764706
48	0.6019642177	0.675
49	0.6014936356	0.6752941176
