date,open,high,low,close,volume
2019-11-28 08:00:00,218.98,219.4,216.57,218.67,2354.9024799999997
2019-11-28 12:00:00,218.35,222.3,218.24,219.76,3330.57932
2019-11-28 16:00:00,219.76,221.0,216.36,216.99,3775.43806
2019-11-28 20:00:00,217.08,218.94,215.96,218.32,2255.8331599999997
2019-11-29 00:00:00,218.34,220.73,218.34,219.36,4504.80547
2019-11-29 04:00:00,219.55,226.0,219.55,224.21,11901.2038
2019-11-29 08:00:00,224.15,226.49,220.38,225.26,18656.679910000003
2019-11-29 12:00:00,225.36,226.34,223.5,224.58,7539.81195
2019-11-29 16:00:00,224.52,224.64,222.48,223.3,4741.79211
2019-11-29 20:00:00,223.29,224.67,222.87,223.3,7110.451210000001
2019-11-30 00:00:00,223.18,224.27,222.69,223.16,4789.16341
2019-11-30 04:00:00,222.93,223.71,220.0,221.7,12624.508810000001
2019-11-30 08:00:00,221.64,222.12,216.93,217.95,10015.441060000001
2019-11-30 12:00:00,217.88,219.18,214.41,215.73,11076.2603
2019-11-30 16:00:00,215.79,217.8,215.34,216.68,2619.5665900000004
2019-11-30 20:00:00,216.69,217.49,211.03,211.52,8235.80925
2019-12-01 00:00:00,211.31,213.08,210.0,211.98,7493.12383
2019-12-01 04:00:00,212.08,214.36,209.24,213.63,9710.20878
2019-12-01 08:00:00,213.68,218.18,212.24,216.15,9167.721
2019-12-01 12:00:00,216.14,216.69,211.66,213.15,7916.4441
2019-12-01 16:00:00,213.06,215.58,212.75,215.03,3934.8071600000003
2019-12-01 20:00:00,215.04,216.54,213.26,215.47,4825.14695
2019-12-02 00:00:00,215.53,215.65,209.74,211.9,8217.32978
2019-12-02 04:00:00,211.62,216.17,209.68,213.66,11594.632870000001
2019-12-02 08:00:00,213.63,214.85,210.96,213.27,7455.780869999999
2019-12-02 12:00:00,213.28,215.59,211.6,212.15,8596.08243
2019-12-02 16:00:00,212.01,214.99,211.95,214.77,2983.33852
2019-12-02 20:00:00,214.82,215.95,213.57,214.45,7416.840139999999
2019-12-03 00:00:00,214.43,214.88,212.16,213.98,3454.36262
2019-12-03 04:00:00,213.84,214.11,211.14,212.06,6358.036169999999
2019-12-03 08:00:00,212.06,214.85,211.27,213.77,4268.974770000001
2019-12-03 12:00:00,213.77,214.26,211.83,213.74,4291.38356
2019-12-03 16:00:00,214.05,214.06,211.29,211.45,2729.08461
2019-12-03 20:00:00,211.51,212.14,202.5,205.99,21007.409340000002
2019-12-04 00:00:00,205.97,206.3,203.62,204.69,5393.0432
2019-12-04 04:00:00,204.77,208.17,202.7,207.19,11692.26003
2019-12-04 08:00:00,207.23,219.68,205.56,214.22,33587.6075
2019-12-04 12:00:00,214.18,215.24,212.64,212.7,3733.01722
2019-12-04 16:00:00,212.86,214.17,206.61,207.44,17182.90195
2019-12-04 20:00:00,207.36,209.01,205.83,206.58,6176.63896
2019-12-05 00:00:00,206.34,211.42,205.16,210.14,15936.219070000001
2019-12-05 04:00:00,210.1,213.87,200.88,213.07,15983.670890000001
2019-12-05 08:00:00,213.16,214.46,209.15,211.06,11317.887439999999
2019-12-05 12:00:00,211.11,212.7,207.86,211.3,7314.746660000001
2019-12-05 16:00:00,211.29,212.5,210.48,211.81,2084.45176
2019-12-05 20:00:00,211.87,213.59,209.7,212.49,5179.337410000001
2019-12-06 00:00:00,212.49,212.72,210.78,211.73,3578.3507200000004
2019-12-06 04:00:00,211.63,213.3,209.2,210.52,8242.33621
2019-12-06 08:00:00,210.19,211.37,209.24,210.3,3817.0599700000002
2019-12-06 12:00:00,210.35,214.0,209.82,212.13,10038.61896
2019-12-06 16:00:00,212.03,212.86,210.53,212.2,3719.6011599999997
2019-12-06 20:00:00,212.15,214.0,211.03,213.31,9172.26745
2019-12-07 00:00:00,213.49,216.62,212.38,213.94,7939.284659999999
