date,open,high,low,close,volume
2019-01-01 00:00:00,29.73,30.16,29.57,30.12,10344.49821
2019-01-01 04:00:00,30.14,30.67,30.13,30.34,8793.09194
2019-01-01 08:00:00,30.35,30.79,30.24,30.29,20755.111060000003
2019-01-01 12:00:00,30.3,30.5,29.84,29.92,12025.85232
2019-01-01 16:00:00,29.91,31.62,29.87,31.1,36093.69359
2019-01-01 20:00:00,31.1,31.8,31.03,31.41,16656.42284
2019-01-02 00:00:00,31.41,31.64,31.17,31.22,6735.8269
2019-01-02 04:00:00,31.22,32.25,31.07,32.14,20565.04741
2019-01-02 08:00:00,32.13,32.48,31.89,32.11,29111.66922
2019-01-02 12:00:00,32.11,32.7,31.82,32.28,22017.57661
2019-01-02 16:00:00,32.3,33.04,32.17,32.96,19702.07915
2019-01-02 20:00:00,32.97,33.29,32.21,32.5,27530.81731
2019-01-03 00:00:00,32.5,32.72,31.94,32.38,12353.19008
2019-01-03 04:00:00,32.38,32.5,31.73,32.04,10883.912460000001
2019-01-03 08:00:00,32.04,32.04,31.42,31.56,19105.074230000002
2019-01-03 12:00:00,31.57,31.64,30.62,30.98,23018.669149999998
2019-01-03 16:00:00,30.96,31.48,30.76,31.43,10826.47405
2019-01-03 20:00:00,31.42,31.55,30.98,31.31,11618.221919999998
2019-01-04 00:00:00,31.3,32.53,31.23,32.28,22732.31408
2019-01-04 04:00:00,32.3,32.4,31.65,31.88,18465.12285
2019-01-04 08:00:00,31.9,31.96,30.78,30.92,18674.62178
2019-01-04 12:00:00,30.92,31.62,30.78,31.31,15328.4379
2019-01-04 16:00:00,31.31,32.09,31.25,31.73,22107.441020000002
2019-01-04 20:00:00,31.77,33.0,31.68,32.79,30669.74086
2019-01-05 00:00:00,32.81,33.2,32.45,32.58,27787.8595
2019-01-05 04:00:00,32.58,32.89,32.2,32.69,19282.84639
2019-01-05 08:00:00,32.7,34.92,32.68,34.76,78931.46523999999
2019-01-05 12:00:00,34.73,35.95,34.57,34.83,122626.2951
2019-01-05 16:00:00,34.83,35.4,34.07,34.5,45035.395399999994
2019-01-05 20:00:00,34.47,35.14,33.89,34.6,80306.82026000001
2019-01-06 00:00:00,34.56,35.82,34.01,35.16,60253.390029999995
2019-01-06 04:00:00,35.16,37.57,34.46,37.1,141918.21339
2019-01-06 08:00:00,37.09,38.47,36.93,37.66,163339.64516000001
2019-01-06 12:00:00,37.65,39.71,37.64,38.52,172720.88523
2019-01-06 16:00:00,38.52,38.9,37.55,38.2,119799.28503999999
2019-01-06 20:00:00,38.18,39.04,37.28,37.77,106059.36593
2019-01-07 00:00:00,37.76,38.56,37.65,38.2,62725.302130000004
2019-01-07 04:00:00,38.21,38.97,36.53,37.15,125499.05833999999
2019-01-07 08:00:00,37.15,37.95,37.12,37.73,52669.13056
2019-01-07 12:00:00,37.73,37.94,36.76,37.75,69073.61471000001
2019-01-07 16:00:00,37.75,37.9,36.79,37.08,53569.391910000006
2019-01-07 20:00:00,37.09,38.69,36.91,37.7,100857.75106000001
2019-01-08 00:00:00,37.7,38.15,37.32,38.1,35459.81835
2019-01-08 04:00:00,38.12,39.45,37.82,39.29,80726.2394
2019-01-08 08:00:00,39.28,40.5,37.57,39.85,145504.93709999998
2019-01-08 12:00:00,39.84,40.8,38.45,38.71,114354.80974999999
2019-01-08 16:00:00,38.71,39.29,38.49,38.62,43501.446339999995
2019-01-08 20:00:00,38.61,39.72,38.6,39.28,68320.10701
2019-01-09 00:00:00,39.27,39.56,38.63,38.75,52669.19806
2019-01-09 04:00:00,38.74,39.2,38.61,38.89,34053.257869999994
2019-01-09 08:00:00,38.88,39.37,38.0,38.13,73262.80622
2019-01-09 12:00:00,38.15,38.77,38.02,38.57,37127.56809
2019-01-09 16:00:00,38.57,38.96,38.34,38.48,50297.7963
2019-01-09 20:00:00,38.5,38.77,38.08,38.38,30308.01173
2019-01-10 00:00:00,38.38,38.64,35.0,35.44,115689.34238
2019-01-10 04:00:00,35.42,35.62,33.34,33.74,147886.81467999998
2019-01-10 08:00:00,33.74,34.3,33.0,33.69,67798.37362
2019-01-10 12:00:00,33.69,34.07,31.0,32.23,121108.62887
2019-01-10 16:00:00,32.23,33.24,31.54,32.96,104136.62932000001
2019-01-10 20:00:00,32.96,33.22,32.24,32.67,47373.19992
2019-01-11 00:00:00,32.68,32.85,31.51,32.32,80301.21559
2019-01-11 04:00:00,32.31,32.76,31.7,31.98,34486.24317
2019-01-11 08:00:00,31.98,32.6,31.72,32.22,41884.13312
2019-01-11 12:00:00,32.21,32.7,31.98,32.53,38753.34553
2019-01-11 16:00:00,32.54,32.9,31.05,31.16,63804.23603
2019-01-11 20:00:00,31.18,32.13,29.68,31.6,98712.1174
2019-01-12 00:00:00,31.6,32.0,31.39,31.52,18472.136000000002
2019-01-12 04:00:00,31.57,31.77,31.29,31.58,17712.26312
2019-01-12 08:00:00,31.57,31.8,31.07,31.52,31947.72908
2019-01-12 12:00:00,31.52,31.65,31.13,31.27,23151.94064
2019-01-12 16:00:00,31.28,31.85,31.2,31.49,29345.941100000004
2019-01-12 20:00:00,31.5,31.93,31.32,31.87,35944.20037
2019-01-13 00:00:00,31.86,32.63,31.81,32.3,39215.90135
2019-01-13 04:00:00,32.3,32.43,31.93,31.96,14733.18362
2019-01-13 08:00:00,31.95,32.22,31.48,31.71,19970.14845
2019-01-13 12:00:00,31.73,31.91,29.39,29.56,78008.57143
2019-01-13 16:00:00,29.56,29.92,29.37,29.48,34786.33172
2019-01-13 20:00:00,29.49,29.95,29.12,29.86,45120.12365
2019-01-14 00:00:00,29.87,31.05,29.85,30.31,24251.7309
2019-01-14 04:00:00,30.32,30.7,29.84,30.0,25617.95783
2019-01-14 08:00:00,30.0,30.43,29.75,30.01,20908.15683
2019-01-14 12:00:00,30.04,32.5,29.94,31.71,106238.69201
2019-01-14 16:00:00,31.7,32.14,31.21,31.66,46321.58141
2019-01-14 20:00:00,31.66,32.09,31.5,31.73,25668.3012
2019-01-15 00:00:00,31.75,31.95,31.58,31.66,15675.75114
2019-01-15 04:00:00,31.66,31.92,30.61,31.33,31649.10857
2019-01-15 08:00:00,31.35,32.13,31.07,31.93,29836.531970000004
2019-01-15 12:00:00,31.94,32.27,31.05,31.57,53203.19891
2019-01-15 16:00:00,31.56,31.75,29.95,30.44,60405.57415
2019-01-15 20:00:00,30.44,30.96,30.38,30.67,15072.80226
2019-01-16 00:00:00,30.67,30.97,30.58,30.8,13558.41446
2019-01-16 04:00:00,30.8,31.21,30.57,31.04,20024.47026
2019-01-16 08:00:00,31.04,31.93,30.94,31.29,36218.62546
2019-01-16 12:00:00,31.31,31.64,30.7,31.24,39945.16116
2019-01-16 16:00:00,31.24,31.5,30.86,31.13,30980.94816
2019-01-16 20:00:00,31.14,31.44,30.37,30.52,25229.822159999996
2019-01-17 00:00:00,30.54,30.91,30.41,30.55,28122.412040000003
2019-01-17 04:00:00,30.55,30.73,29.8,30.42,42604.72864
2019-01-17 08:00:00,30.4,30.63,30.01,30.37,24867.01385
2019-01-17 12:00:00,30.37,31.24,30.31,30.75,49396.93232
2019-01-17 16:00:00,30.75,31.25,30.68,31.12,26413.82285
2019-01-17 20:00:00,31.12,31.55,30.99,31.22,29276.001519999998
2019-01-18 00:00:00,31.21,31.22,30.82,31.13,23102.45654
2019-01-18 04:00:00,31.13,31.46,30.72,30.79,37164.8953
2019-01-18 08:00:00,30.79,30.88,30.41,30.61,26767.13367
2019-01-18 12:00:00,30.59,31.12,30.31,30.56,25815.187249999995
2019-01-18 16:00:00,30.56,31.0,30.41,30.88,10468.70746
2019-01-18 20:00:00,30.85,31.24,30.59,31.09,26300.15785
2019-01-19 00:00:00,31.1,31.24,30.87,30.95,13307.60442
2019-01-19 04:00:00,30.95,32.92,30.88,32.47,58565.393019999996
2019-01-19 08:00:00,32.49,32.59,32.03,32.14,29864.13815
2019-01-19 12:00:00,32.14,32.53,31.82,32.18,26220.34883
2019-01-19 16:00:00,32.19,32.4,32.06,32.19,15358.197049999999
2019-01-19 20:00:00,32.19,32.36,31.83,32.28,14244.26908
2019-01-20 00:00:00,32.27,32.84,32.25,32.78,30881.04036
2019-01-20 04:00:00,32.77,33.2,32.15,32.55,32884.157699999996
2019-01-20 08:00:00,32.55,32.6,28.45,30.73,109154.53367
2019-01-20 12:00:00,30.73,30.83,30.24,30.37,36723.94562
2019-01-20 16:00:00,30.36,30.85,30.3,30.75,27517.26518
2019-01-20 20:00:00,30.75,30.94,30.55,30.74,12435.03029
2019-01-21 00:00:00,30.74,30.77,30.34,30.66,17416.199780000003
2019-01-21 04:00:00,30.66,31.02,30.55,30.83,19887.718740000004
2019-01-21 08:00:00,30.84,31.22,30.62,30.72,29437.576949999995
2019-01-21 12:00:00,30.72,30.84,30.5,30.72,15903.485990000001
2019-01-21 16:00:00,30.73,30.8,30.38,30.7,12908.72682
2019-01-21 20:00:00,30.69,31.1,30.68,30.85,14798.91186
2019-01-22 00:00:00,30.86,30.95,30.29,30.53,28648.423699999996
2019-01-22 04:00:00,30.55,30.77,30.3,30.56,10462.49913
2019-01-22 08:00:00,30.56,31.76,29.48,31.3,83351.3899
2019-01-22 12:00:00,31.31,31.81,31.18,31.78,43166.78611
2019-01-22 16:00:00,31.77,32.0,31.32,31.54,21986.94512
2019-01-22 20:00:00,31.52,31.9,31.36,31.84,10755.76248
2019-01-23 00:00:00,31.84,31.86,31.37,31.58,14276.3341
2019-01-23 04:00:00,31.58,31.64,31.24,31.64,15166.33861
2019-01-23 08:00:00,31.63,32.18,31.47,31.78,47636.656520000004
2019-01-23 12:00:00,31.78,32.07,31.54,32.0,13950.57808
2019-01-23 16:00:00,32.01,32.02,31.36,31.68,21209.336779999998
2019-01-23 20:00:00,31.67,31.76,31.36,31.5,9055.75659
2019-01-24 00:00:00,31.5,31.55,30.89,31.3,20374.37303
2019-01-24 04:00:00,31.29,31.47,31.21,31.29,7760.80775
2019-01-24 08:00:00,31.28,32.2,31.19,31.91,28323.58603
2019-01-24 12:00:00,31.93,32.1,31.7,32.03,11734.749939999998
2019-01-24 16:00:00,32.03,33.1,32.02,32.52,59235.13989
2019-01-24 20:00:00,32.5,33.0,32.38,32.59,36527.57232
2019-01-25 00:00:00,32.6,32.83,32.49,32.58,18328.398250000002
2019-01-25 04:00:00,32.57,32.75,31.96,32.13,30873.691
2019-01-25 08:00:00,32.1,32.55,31.97,32.5,30582.19026
2019-01-25 12:00:00,32.49,32.52,32.06,32.14,20596.43164
