unix,open,high,low,close,volume
1574938800000.0,218.98,219.4,216.57,218.67,2354.90248
1574953200000.0,218.35,222.3,218.24,219.76,3330.57932
1574967600000.0,219.76,221.0,216.36,216.99,3775.43806
1574982000000.0,217.08,218.94,215.96,218.32,2255.83316
1574996400000.0,218.34,220.73,218.34,219.36,4504.80547
1575010800000.0,219.55,226.0,219.55,224.21,11901.2038
1575025200000.0,224.15,226.49,220.38,225.26,18656.679910000006
1575039600000.0,225.36,226.34,223.5,224.58,7539.81195
1575054000000.0,224.52,224.64,222.48,223.3,4741.79211
1575068400000.0,223.29,224.67,222.87,223.3,7110.451210000001
1575082800000.0,223.18,224.27,222.69,223.16,4789.16341
1575097200000.0,222.93,223.71,220.0,221.7,12624.50881
1575111600000.0,221.64,222.12,216.93,217.95,10015.44106
1575126000000.0,217.88,219.18,214.41,215.73,11076.2603
1575140400000.0,215.79,217.8,215.34,216.68,2619.566590000001
1575154800000.0,216.69,217.49,211.03,211.52,8235.80925
1575169200000.0,211.31,213.08,210.0,211.98,7493.1238299999995
1575183600000.0,212.08,214.36,209.24,213.63,9710.208779999999
1575198000000.0,213.68,218.18,212.24,216.15,9167.721
1575212400000.0,216.14,216.69,211.66,213.15,7916.4441
1575226800000.0,213.06,215.58,212.75,215.03,3934.80716
1575241200000.0,215.04,216.54,213.26,215.47,4825.14695
1575255600000.0,215.53,215.65,209.74,211.9,8217.32978
1575270000000.0,211.62,216.17,209.68,213.66,11594.63287
1575284400000.0,213.63,214.85,210.96,213.27,7455.780869999999
1575298800000.0,213.28,215.59,211.6,212.15,8596.08243
1575313200000.0,212.01,214.99,211.95,214.77,2983.33852
1575327600000.0,214.82,215.95,213.57,214.45,7416.840139999998
1575342000000.0,214.43,214.88,212.16,213.98,3454.3626200000003
1575356400000.0,213.84,214.11,211.14,212.06,6358.0361699999985
1575370800000.0,212.06,214.85,211.27,213.77,4268.974770000002
1575385200000.0,213.77,214.26,211.83,213.74,4291.38356
1575399600000.0,214.05,214.06,211.29,211.45,2729.0846100000003
1575414000000.0,211.51,212.14,202.5,205.99,21007.40934
1575428400000.0,205.97,206.3,203.62,204.69,5393.0432
1575442800000.0,204.77,208.17,202.7,207.19,11692.26003
1575457200000.0,207.23,219.68,205.56,214.22,33587.6075
1575471600000.0,214.18,215.24,212.64,212.7,3733.01722
1575486000000.0,212.86,214.17,206.61,207.44,17182.90195
1575500400000.0,207.36,209.01,205.83,206.58,6176.63896
1575514800000.0,206.34,211.42,205.16,210.14,15936.21907
1575529200000.0,210.1,213.87,200.88,213.07,15983.67089
1575543600000.0,213.16,214.46,209.15,211.06,11317.88744
1575558000000.0,211.11,212.7,207.86,211.3,7314.746660000002
1575572400000.0,211.29,212.5,210.48,211.81,2084.45176
1575586800000.0,211.87,213.59,209.7,212.49,5179.337410000001
1575601200000.0,212.49,212.72,210.78,211.73,3578.350720000001
1575615600000.0,211.63,213.3,209.2,210.52,8242.33621
1575630000000.0,210.19,211.37,209.24,210.3,3817.05997
1575644400000.0,210.35,214.0,209.82,212.13,10038.61896
1575658800000.0,212.03,212.86,210.53,212.2,3719.60116
