unix,open,high,low,close,volume
1593068400000.0,230.95,231.5,217.84,219.0,3312.72565
1593082800000.0,218.99,231.48,202.97,229.8,3688.54026
1593097200000.0,229.8,239.0,203.0,212.8,14006.22909
1593111600000.0,212.84,244.0,210.69,232.35,10007.443659999999
1593126000000.0,232.35,265.0,226.11,243.06,4780.41636
1593140400000.0,242.85,259.04,237.18,249.91,6319.16435
1593154800000.0,249.91,250.17,238.0,243.03,3236.75232
1593169200000.0,243.03,258.71,240.53,250.88,4471.4000099999985
1593183600000.0,250.89,259.86,246.47,259.35,2432.24638
1593198000000.0,259.2,269.0,257.18,263.93,5364.0985500000015
1593212400000.0,263.93,264.47,251.67,253.24,2685.83086
1593226800000.0,253.63,263.87,253.23,259.15,1459.4096
1593241200000.0,259.49,264.76,245.43,246.79,2308.39088
1593255600000.0,246.79,251.99,233.33,237.26,3273.79959
1593270000000.0,237.26,244.49,225.0,231.66,3713.1491200000005
1593284400000.0,232.02,239.0,222.28,235.23,2825.47575
1593298800000.0,235.17,,,,
1593327600000.0,229.12,238.95,227.16,236.99,931.6429400000001
1593342000000.0,237.3,243.0,234.0,239.03,1509.83227
1593356400000.0,239.17,253.0,239.02,246.02,5020.031809999999
1593370800000.0,246.02,249.71,241.74,242.01,1135.06585
1593385200000.0,241.88,245.5,239.03,239.09,1121.13012
1593399600000.0,239.67,245.99,236.05,240.37,1331.02744
1593414000000.0,240.2,244.92,232.97,238.97,2219.81577
1593428400000.0,238.97,238.97,233.0,233.56,1640.0746
1593442800000.0,234.5,236.54,232.0,232.27,1603.05831
1593457200000.0,232.19,236.64,232.01,233.56,653.0332900000001
1593471600000.0,233.56,237.13,232.22,235.1,1494.3121
1593486000000.0,235.1,240.45,228.63,230.98,3675.08992
1593500400000.0,231.17,233.0,219.84,226.76,3147.48727
1593514800000.0,226.2,228.23,215.58,217.49,2721.6921199999997
1593529200000.0,217.49,220.49,213.0,213.2,3301.22218
1593543600000.0,213.12,220.22,213.01,217.03,1641.57465
1593558000000.0,216.57,219.0,215.22,215.51,1049.36982
1593572400000.0,215.51,218.25,210.16,212.79,2515.62151
1593586800000.0,212.79,216.0,211.12,213.28,2214.87235
1593601200000.0,213.21,217.09,212.53,214.38,2577.0550399999997
1593615600000.0,214.38,218.72,208.64,209.6,2409.7575
1593630000000.0,209.57,213.4,201.65,203.98,3099.72134
1593644400000.0,203.77,204.77,200.05,201.57,3488.76492
1593658800000.0,201.47,202.28,189.58,192.81,5441.183160000001
1593673200000.0,193.16,197.12,181.02,193.18,6176.6192200000005
1593687600000.0,193.57,193.67,183.0,191.4,4036.6094
