unix,open,high,low,close,volume
1553756400000.0,93.09,94.7,92.5,94.25,287.88865
1553770800000.0,93.25,94.25,92.83,93.52,283.79347
1553785200000.0,93.63,96.9,92.87,94.7,415.7741
1553799600000.0,94.7,98.89,94.53,95.47,966.8802400000001
1553814000000.0,95.91,96.92,95.48,96.66,577.93968
1553828400000.0,96.8,97.56,96.0,96.57,403.00809
1553842800000.0,96.59,98.19,96.34,97.7,686.05511
1553857200000.0,97.8,98.02,94.91,97.42,1008.53105
1553871600000.0,97.7,98.09,96.74,97.55,684.24005
1553886000000.0,97.74,98.09,97.31,97.68,208.07047
1553900400000.0,97.78,98.52,97.11,97.5,218.73587
1553914800000.0,97.07,97.15,95.5,96.73,189.60325
1553929200000.0,96.73,97.0,95.71,96.7,600.05823
1553943600000.0,96.68,97.97,96.55,97.4,398.18152000000003
1553958000000.0,97.4,97.4,95.52,97.23,142.91387
1553972400000.0,97.23,100.82,97.23,100.41,1931.2816
1553986800000.0,100.41,102.9,99.61,102.9,1021.7183699999997
1554001200000.0,102.9,105.39,102.0,102.14,2943.61761
1554015600000.0,102.2,105.84,102.2,105.09,1440.85761
1554030000000.0,104.95,107.56,104.9,106.29,1772.4333299999994
1554044400000.0,106.29,110.57,105.0,109.95,3251.32877
1554058800000.0,109.44,110.7,108.04,110.53,888.4480799999999
1554073200000.0,110.56,116.05,107.71,116.05,3355.9762599999995
1554087600000.0,116.58,120.06,113.87,118.92,6094.577360000001
1554102000000.0,118.92,119.09,117.23,117.45,1892.65261
1554116400000.0,117.45,117.62,110.32,112.25,3618.7931
1554130800000.0,112.31,113.49,111.05,111.24,1065.80867
1554145200000.0,111.42,113.58,111.06,113.55,771.9979500000002
1554159600000.0,113.55,116.2,112.97,114.16,949.4910800000001
1554174000000.0,114.09,120.96,111.03,119.35,5389.27233
1554188400000.0,119.4,123.04,117.35,122.78,2723.33325
1554202800000.0,122.78,125.84,118.65,120.95,2560.5391
1554217200000.0,120.6,122.0,119.01,121.71,2010.4956
1554231600000.0,121.55,123.16,120.79,122.9,1531.62334
1554246000000.0,122.9,139.09,121.99,135.9,2789.74447
1554260400000.0,136.21,136.28,120.26,127.97,3363.13716
1554274800000.0,128.81,133.94,124.82,132.28,1771.75536
1554289200000.0,131.89,139.1,131.34,131.62,10903.41046
1554303600000.0,131.62,138.0,131.35,132.0,2414.79414
1554318000000.0,132.87,138.0,123.34,125.01,4541.77428
1554332400000.0,125.34,128.5,118.38,127.5,3006.72461
1554346800000.0,127.5,130.64,124.26,130.39,1034.6277
1554361200000.0,130.71,131.65,125.08,125.4,938.5540900000001
1554375600000.0,125.13,127.2,123.51,126.51,961.06526
1554390000000.0,126.54,127.19,119.02,121.76,1752.3339199999998
1554404400000.0,121.81,123.72,119.26,121.22,1256.71257
1554418800000.0,122.06,126.66,122.06,125.21,494.45831
1554433200000.0,125.21,130.64,123.52,127.89,1501.5699100000004
1554447600000.0,127.88,132.29,126.73,132.26,1059.71261
1554462000000.0,132.3,134.24,129.78,129.78,1639.22803
1554476400000.0,130.63,131.88,127.64,131.2,734.22965
1554490800000.0,131.2,132.53,129.74,132.0,367.20432
