unix,open,high,low,close,volume
1597791600000.0,2.09,4.44,2.0,2.9628,9880401.64
1597806000000.0,2.9631,3.0755,2.64,3.0095,4430029.48
1597820400000.0,3.0095,3.1999,2.9,3.0014,3368581.82
1597834800000.0,3.0006,3.01,2.9,2.9934,1672450.3
1597849200000.0,2.9936,3.0298,2.7622,2.9,1309893.9500000002
1597863600000.0,2.9,3.035,2.72,2.9388,1091865.96
1597878000000.0,2.9351,2.999,2.72,2.7631,1283978.53
1597892400000.0,2.7575,2.82,2.6759,2.7555,1139569.1
1597906800000.0,2.7662,2.915,2.7662,2.85,1293383.04
1597921200000.0,2.8499,2.9398,2.8,2.8709,1381780.84
1597935600000.0,2.8707,3.1111,2.8547,2.88,2488748.01
1597950000000.0,2.8703,3.0,2.6,2.7733,3199494.17
1597964400000.0,2.7721,2.957,2.6896,2.7091,1977432.76
1597978800000.0,2.709,2.9218,2.6826,2.9075,1786715.08
1597993200000.0,2.906,3.09,2.8653,3.0095,2160913.96
1598007600000.0,3.0025,3.0199,2.8311,2.9367,1266968.61
1598022000000.0,2.9367,3.0,2.8671,3.0,1076517.49
1598036400000.0,3.0,3.028,2.82,2.8515,1775668.29
1598050800000.0,2.8557,2.9092,2.782,2.8577,902425.1
1598065200000.0,2.8571,2.9602,2.852,2.9581,1033114.0699999998
1598079600000.0,2.9552,4.019,2.9545,3.82,15564000.11
1598094000000.0,3.82,4.0313,3.5010000000000003,3.8255,9511535.65
1598108400000.0,3.8241,4.3634,3.7395,4.2454,8002242.580000001
1598122800000.0,4.2454,4.3319,3.9333,4.2398,4678521.73
1598137200000.0,4.2396,4.55,4.132,4.3066,5359439.93
1598151600000.0,4.31,4.3151,4.01,4.1386,3582717.23
1598166000000.0,4.1386,4.2691,3.8029,3.8891,3857077.13
1598180400000.0,3.9,3.9888,3.7032,3.8375,6395325.060000001
1598194800000.0,3.8456,3.9183,3.7185,3.8363,3144586.44
1598209200000.0,3.8437,4.1285,3.8428,3.9206,2591044.5700000003
1598223600000.0,3.9206,4.1284,3.78,3.8782,3409105.66
1598238000000.0,3.8799,4.14,3.8521,4.0586,2786778.56
1598252400000.0,4.0584,4.1598,3.9001,4.079,3802589.5
1598266800000.0,4.079,4.3197,4.0174,4.1656,4767946.99
1598281200000.0,4.1628,4.4999,4.1,4.2822,5700100.9
1598295600000.0,4.2810000000000015,4.7983,4.277,4.6918,5415231.58
1598310000000.0,4.6994,4.922,4.48,4.714,4841055.99
1598324400000.0,4.713,4.9947,4.6692,4.7083,5779429.32
1598338800000.0,4.7116,4.9289999999999985,4.525,4.8816,4735120.29
1598353200000.0,4.8824,4.98,4.6188,4.7343,5691439.119999999
1598367600000.0,4.7343,5.4234,4.655,5.3174,10545941.95
1598382000000.0,5.3172,5.77,5.26,5.3427,7532635.369999999
1598396400000.0,5.3514,5.685,5.3125,5.3664,5464618.71
1598410800000.0,5.3664,5.5332,5.1866,5.2503,4239721.5
