unix,open,high,low,close,volume
1546311600000.0,130.72,134.0,130.71,133.36,48477.89116
1546326000000.0,133.36,135.3,133.01,133.86,47840.616630000004
1546340400000.0,133.89,136.0,132.95,133.57,44048.78863
1546354800000.0,133.52,133.73,131.0,132.04,41332.8921
1546369200000.0,132.04,139.48,132.04,137.63,140922.56793999998
1546383600000.0,137.64,140.67,136.71,138.59,107102.54162
1546398000000.0,138.59,139.58,138.02,138.99,41518.95551
1546412400000.0,138.99,149.09,138.96,148.65,279967.60814
1546426800000.0,148.66,152.48,146.33,150.55,217247.3583
1546441200000.0,150.55,152.25,146.95,149.2,156750.9095
1546455600000.0,149.21,154.8,148.1,153.67,133717.68488
1546470000000.0,153.67,155.37,148.67,151.03,135563.06257
1546484400000.0,151.08,153.64,150.52,151.93,98475.36099999999
1546498800000.0,151.93,152.26,145.8,148.28,160200.68250999998
1546513200000.0,148.28,148.91,144.71,146.85,136328.47389000002
1546527600000.0,146.85,148.0,143.11,144.52,123317.90149
1546542000000.0,144.51,148.12,144.07,147.79,85598.59868
1546556400000.0,147.79,148.23,143.54,146.81,90975.51965
1546570800000.0,146.82,154.67,146.12,153.33,166666.57004000002
1546585200000.0,153.33,154.8,149.41,151.82,145053.21532000002
1546599600000.0,151.85,151.99,144.89,145.88,154455.34338
1546614000000.0,145.97,148.71,144.66,147.05,95365.36552
1546628400000.0,147.05,153.98,146.8,151.98,143634.08192000006
1546642800000.0,151.98,159.26,150.8,157.4,235553.20898000002
1546657200000.0,157.4,158.75,153.25,154.51,126163.68533
1546671600000.0,154.51,155.18,152.15,153.74,88120.31159
1546686000000.0,153.74,156.98,153.38,154.64,104442.67315000002
1546700400000.0,154.61,156.89,152.2,155.5,124923.22131
1546714800000.0,155.52,156.57,151.2,154.07,97319.03715
1546729200000.0,154.08,154.11,147.51,149.55,146236.71834999998
1546743600000.0,149.52,151.52,148.95,150.47,61894.76033
1546758000000.0,150.46,153.0,149.02,151.73,81029.63023000001
1546772400000.0,151.72,153.24,150.1,151.1,75390.9382
1546786800000.0,151.14,157.4,150.26,154.7,183865.36718
1546801200000.0,154.71,155.53,152.56,152.8,86568.38853000001
1546815600000.0,152.77,155.48,151.7,152.83,82421.21832
1546830000000.0,152.84,153.87,152.55,153.28,40695.241839999995
1546844400000.0,153.27,154.0,148.33,150.2,107883.59
1546858800000.0,150.21,152.4,149.8,151.45,60987.84199
1546873200000.0,151.55,152.1,149.15,151.24,65995.32213
1546887600000.0,151.24,151.86,147.86,148.65,71792.24012999999
1546902000000.0,148.64,150.64,145.2,146.69,78338.89656000001
1546916400000.0,146.72,147.48,145.78,146.96,55114.07016
1546930800000.0,146.97,148.3,146.26,148.06,70077.11172999999
1546945200000.0,148.07,151.65,147.52,149.66,106586.87437
1546959600000.0,149.66,151.63,147.26,147.86,91373.58687999999
1546974000000.0,147.86,148.84,147.0,148.0,40367.448430000004
1546988400000.0,148.02,151.5,146.77,150.67,73437.54936
1547002800000.0,150.67,151.03,149.08,149.6,49395.18103
1547017200000.0,149.55,150.37,149.03,149.48,33556.586339999994
1547031600000.0,149.48,150.58,147.5,147.85,56758.74929
1547046000000.0,147.88,149.25,147.41,148.46,36182.289430000004
1547060400000.0,148.47,149.9,147.07,148.44,55456.437139999995
1547074800000.0,148.45,149.45,147.91,148.56,30030.782570000007
1547089200000.0,148.6,148.71,133.1,135.51,174447.39337
1547103600000.0,135.4,135.9,126.99,129.88,255593.39336
1547118000000.0,129.88,131.61,126.3,129.6,102339.05869
1547132400000.0,129.57,129.86,122.07,123.6,154924.76904
1547146800000.0,123.59,127.1,121.0,125.47,148155.27391
1547161200000.0,125.44,127.36,122.2,125.32,80243.49142
1547175600000.0,125.33,126.46,124.18,126.24,84820.98904
1547190000000.0,126.24,127.12,120.08,121.95,106327.73056
1547204400000.0,121.96,125.0,120.59,124.63,108675.19327999999
1547218800000.0,124.67,126.45,123.24,124.9,83386.40051
1547233200000.0,124.89,125.55,122.16,122.63,64513.01772999999
1547247600000.0,122.65,125.31,121.5,124.28,69551.82819
1547262000000.0,124.28,125.81,123.61,123.92,59978.04686
1547276400000.0,123.93,125.33,123.25,124.28,40995.40501
1547290800000.0,124.25,126.19,122.7,124.84,54410.50943000001
1547305200000.0,124.84,124.99,122.75,123.98,38767.16672
1547319600000.0,123.95,125.31,122.0,122.78,48582.02948000001
1547334000000.0,122.78,123.54,122.12,123.25,40612.85779
1547348400000.0,123.25,123.66,122.36,122.93,25556.9201
1547362800000.0,122.92,123.48,122.55,122.91,20403.09088
1547377200000.0,122.97,124.25,121.71,122.27,51281.76869
1547391600000.0,122.28,122.54,113.0,113.39,180607.65749
1547406000000.0,113.39,114.68,111.87,113.97,111922.54075
1547420400000.0,113.96,116.5,113.26,115.77,61692.036239999994
1547434800000.0,115.78,116.7,115.51,116.6,47754.13929
1547449200000.0,116.6,117.57,115.07,115.69,54687.22104999999
1547463600000.0,115.7,116.3,114.47,115.44,44103.08369
1547478000000.0,115.45,130.05,115.32,127.72,250720.72128
1547492400000.0,127.73,128.62,124.54,126.95,84367.99819000001
1547506800000.0,126.95,128.83,126.06,126.89,57869.91566
1547521200000.0,126.9,127.69,125.48,126.41,46674.55152
1547535600000.0,126.41,127.3,123.1,125.17,94623.95661000001
1547550000000.0,125.2,128.55,125.01,127.79,83437.50443999999
1547564400000.0,127.83,129.4,123.51,124.98,121517.75555
1547578800000.0,124.95,125.2,116.0,117.6,204497.54925
1547593200000.0,117.6,120.73,117.15,119.01,102747.78383
1547607600000.0,119.01,120.58,118.97,119.83,49474.218810000006
