unix,open,high,low,close,volume
1547636400000.0,0.5146,0.5162,0.4668,0.4746,573395.11
1547650800000.0,0.476,0.52,0.4677,0.5016,352805.51
1547665200000.0,0.5,0.52,0.4854,0.4858,269742.36
1547679600000.0,0.4862,0.4954,0.4701,0.4804,363502.55
1547694000000.0,0.4804,0.4844,0.4639,0.4791,233603.19
1547708400000.0,0.4791,0.4877,0.4703,0.476,106069.65
1547722800000.0,0.4753,0.4938,0.4703,0.4904,89526.22
1547737200000.0,0.4924,0.4953,0.4706,0.473,375577.09
1547751600000.0,0.4723,0.4837,0.4708,0.476,299053.28
1547766000000.0,0.4769,0.4773,0.4718,0.4745,63001.61
1547780400000.0,0.4749,0.4756,0.4601,0.4703,167572.88
1547794800000.0,0.471,0.48,0.4634,0.4728,134227.46
1547809200000.0,0.4765,0.4765,0.4647,0.468,38943.63
1547823600000.0,0.4664,0.4749,0.4635,0.4749,70699.93000000001
1547838000000.0,0.4728,0.5112,0.4693,0.4961,458447.73
1547852400000.0,0.4982,0.503,0.4786,0.4848,187910.91
1547866800000.0,0.4848,0.4937,0.476,0.4777,73901.84
1547881200000.0,0.4777,0.5,0.4673,0.478,281436.21
1547895600000.0,0.4797,0.49,0.477,0.4819,136946.41
1547910000000.0,0.4813,0.4852,0.476,0.4773,77380.37999999999
1547924400000.0,0.4775,0.4851,0.4768,0.4831,55638.39
1547938800000.0,0.4831,0.4851,0.479,0.4825,21488.340000000004
1547953200000.0,0.482,0.4853,0.4785,0.483,31481.44
1547967600000.0,0.483,0.4909,0.483,0.4868,48326.64
1547982000000.0,0.4879,0.4879,0.459,0.4668,253856.26
1547996400000.0,0.4673,0.4920000000000001,0.4648,0.4795,244938.05
1548010800000.0,0.4794,0.4863,0.4738,0.4835,51109.38000000001
1548025200000.0,0.4856,0.4933,0.4765,0.4772,110590.19
1548039600000.0,0.4775,0.4874,0.465,0.4717,75939.06
1548054000000.0,0.4751,0.4844,0.472,0.4811,47148.54
1548068400000.0,0.4814,0.489,0.476,0.4793,63627.94
1548082800000.0,0.4747,0.5125,0.473,0.5075,321072.03
1548097200000.0,0.509,0.5198,0.494,0.4997,261770.59000000003
1548111600000.0,0.4992,0.5121,0.4939,0.5085,95457.6
1548126000000.0,0.507,0.5149,0.501,0.512,155763.27000000002
1548140400000.0,0.5108,0.5345,0.5067,0.5266,226594.19
1548154800000.0,0.524,0.55,0.5124,0.5391,337364.05999999994
1548169200000.0,0.5391,0.5656,0.5344,0.5408,684288.3899999999
1548183600000.0,0.5408,0.5452,0.5323,0.5361,303985.28
1548198000000.0,0.5362,0.5475,0.5323,0.5379,96525.98
1548212400000.0,0.5356,0.5356,0.5136,0.5299,308708.33
1548226800000.0,0.5299,0.5316,0.4901,0.5155,337706.04
1548241200000.0,0.5154,0.517,0.505,0.5131,292943.01
1548255600000.0,0.5131,0.5334,0.512,0.5152,347591.26
1548270000000.0,0.5156,0.5181,0.4976,0.5083,438050.15
1548284400000.0,0.5082,0.5083,0.4920000000000001,0.5008,163981.23
1548298800000.0,0.4985,0.5,0.4518,0.4948,714954.93
1548313200000.0,0.4948,0.4995,0.4772,0.4863,226736.43
1548327600000.0,0.4862,0.5,0.4847,0.4861,122168.42
1548342000000.0,0.4875,0.4929,0.4797,0.491,173811.86
