unix,open,high,low,close,volume
1546311600000.0,29.73,30.16,29.57,30.12,10344.49821
1546326000000.0,30.14,30.67,30.13,30.34,8793.09194
1546340400000.0,30.35,30.79,30.24,30.29,20755.111060000007
1546354800000.0,30.3,30.5,29.84,29.92,12025.85232
1546369200000.0,29.91,31.62,29.87,31.1,36093.693589999995
1546383600000.0,31.1,31.8,31.03,31.41,16656.42284
1546398000000.0,31.41,31.64,31.17,31.22,6735.8269
1546412400000.0,31.22,32.25,31.07,32.14,20565.04741
1546426800000.0,32.13,32.48,31.89,32.11,29111.66922
1546441200000.0,32.11,32.7,31.82,32.28,22017.57661
1546455600000.0,32.3,33.04,32.17,32.96,19702.07915
1546470000000.0,32.97,33.29,32.21,32.5,27530.817310000002
1546484400000.0,32.5,32.72,31.94,32.38,12353.19008
1546498800000.0,32.38,32.5,31.73,32.04,10883.91246
1546513200000.0,32.04,32.04,31.42,31.56,19105.07423
1546527600000.0,31.57,31.64,30.62,30.98,23018.66915
1546542000000.0,30.96,31.48,30.76,31.43,10826.47405
1546556400000.0,31.42,31.55,30.98,31.31,11618.221919999998
1546570800000.0,31.3,32.53,31.23,32.28,22732.31408
1546585200000.0,32.3,32.4,31.65,31.88,18465.12285
1546599600000.0,31.9,31.96,30.78,30.92,18674.62178
1546614000000.0,30.92,31.62,30.78,31.31,15328.4379
1546628400000.0,31.31,32.09,31.25,31.73,22107.44102
1546642800000.0,31.77,33.0,31.68,32.79,30669.74086
1546657200000.0,32.81,33.2,32.45,32.58,27787.8595
1546671600000.0,32.58,32.89,32.2,32.69,19282.84639
1546686000000.0,32.7,34.92,32.68,34.76,78931.46523999999
1546700400000.0,34.73,35.95,34.57,34.83,122626.2951
1546714800000.0,34.83,35.4,34.07,34.5,45035.3954
1546729200000.0,34.47,35.14,33.89,34.6,80306.82026000001
1546743600000.0,34.56,35.82,34.01,35.16,60253.39003
1546758000000.0,35.16,37.57,34.46,37.1,141918.21339000002
1546772400000.0,37.09,38.47,36.93,37.66,163339.64516
1546786800000.0,37.65,39.71,37.64,38.52,172720.88522999999
1546801200000.0,38.52,38.9,37.55,38.2,119799.28504
1546815600000.0,38.18,39.04,37.28,37.77,106059.36593
1546830000000.0,37.76,38.56,37.65,38.2,62725.30213
1546844400000.0,38.21,38.97,36.53,37.15,125499.05834
1546858800000.0,37.15,37.95,37.12,37.73,52669.130560000005
1546873200000.0,37.73,37.94,36.76,37.75,69073.61471000001
1546887600000.0,37.75,37.9,36.79,37.08,53569.39191000001
1546902000000.0,37.09,38.69,36.91,37.7,100857.75106
1546916400000.0,37.7,38.15,37.32,38.1,35459.81835
1546930800000.0,38.12,39.45,37.82,39.29,80726.2394
1546945200000.0,39.28,40.5,37.57,39.85,145504.93709999998
1546959600000.0,39.84,40.8,38.45,38.71,114354.80975
1546974000000.0,38.71,39.29,38.49,38.62,43501.44634
1546988400000.0,38.61,39.72,38.6,39.28,68320.10701
1547002800000.0,39.27,39.56,38.63,38.75,52669.19806
1547017200000.0,38.74,39.2,38.61,38.89,34053.257869999994
1547031600000.0,38.88,39.37,38.0,38.13,73262.80622
1547046000000.0,38.15,38.77,38.02,38.57,37127.56809
1547060400000.0,38.57,38.96,38.34,38.48,50297.7963
1547074800000.0,38.5,38.77,38.08,38.38,30308.011730000002
1547089200000.0,38.38,38.64,35.0,35.44,115689.34238
1547103600000.0,35.42,35.62,33.34,33.74,147886.81467999998
1547118000000.0,33.74,34.3,33.0,33.69,67798.37362
1547132400000.0,33.69,34.07,31.0,32.23,121108.62887
1547146800000.0,32.23,33.24,31.54,32.96,104136.62932
1547161200000.0,32.96,33.22,32.24,32.67,47373.19992
1547175600000.0,32.68,32.85,31.51,32.32,80301.21558999999
1547190000000.0,32.31,32.76,31.7,31.98,34486.24317
1547204400000.0,31.98,32.6,31.72,32.22,41884.13312
1547218800000.0,32.21,32.7,31.98,32.53,38753.34553
1547233200000.0,32.54,32.9,31.05,31.16,63804.23602999999
1547247600000.0,31.18,32.13,29.68,31.6,98712.1174
1547262000000.0,31.6,32.0,31.39,31.52,18472.136
1547276400000.0,31.57,31.77,31.29,31.58,17712.26312
1547290800000.0,31.57,31.8,31.07,31.52,31947.72908
1547305200000.0,31.52,31.65,31.13,31.27,23151.94064
1547319600000.0,31.28,31.85,31.2,31.49,29345.941100000004
1547334000000.0,31.5,31.93,31.32,31.87,35944.20037
1547348400000.0,31.86,32.63,31.81,32.3,39215.90135
1547362800000.0,32.3,32.43,31.93,31.96,14733.183619999998
1547377200000.0,31.95,32.22,31.48,31.71,19970.14845
1547391600000.0,31.73,31.91,29.39,29.56,78008.57143
1547406000000.0,29.56,29.92,29.37,29.48,34786.33172
1547420400000.0,29.49,29.95,29.12,29.86,45120.12365
1547434800000.0,29.87,31.05,29.85,30.31,24251.7309
1547449200000.0,30.32,30.7,29.84,30.0,25617.95783
1547463600000.0,30.0,30.43,29.75,30.01,20908.15683
1547478000000.0,30.04,32.5,29.94,31.71,106238.69201
1547492400000.0,31.7,32.14,31.21,31.66,46321.58141
1547506800000.0,31.66,32.09,31.5,31.73,25668.3012
1547521200000.0,31.75,31.95,31.58,31.66,15675.75114
1547535600000.0,31.66,31.92,30.61,31.33,31649.10857
1547550000000.0,31.35,32.13,31.07,31.93,29836.531970000004
1547564400000.0,31.94,32.27,31.05,31.57,53203.19891
1547578800000.0,31.56,31.75,29.95,30.44,60405.57415
1547593200000.0,30.44,30.96,30.38,30.67,15072.802259999999
1547607600000.0,30.67,30.97,30.58,30.8,13558.41446
1547622000000.0,30.8,31.21,30.57,31.04,20024.47026
1547636400000.0,31.04,31.93,30.94,31.29,36218.62546
1547650800000.0,31.31,31.64,30.7,31.24,39945.16116
1547665200000.0,31.24,31.5,30.86,31.13,30980.948160000004
1547679600000.0,31.14,31.44,30.37,30.52,25229.82216
1547694000000.0,30.54,30.91,30.41,30.55,28122.412040000007
1547708400000.0,30.55,30.73,29.8,30.42,42604.72864
1547722800000.0,30.4,30.63,30.01,30.37,24867.01385
1547737200000.0,30.37,31.24,30.31,30.75,49396.93232
1547751600000.0,30.75,31.25,30.68,31.12,26413.82285
1547766000000.0,31.12,31.55,30.99,31.22,29276.00152
1547780400000.0,31.21,31.22,30.82,31.13,23102.45654
1547794800000.0,31.13,31.46,30.72,30.79,37164.8953
1547809200000.0,30.79,30.88,30.41,30.61,26767.13367
1547823600000.0,30.59,31.12,30.31,30.56,25815.187249999995
1547838000000.0,30.56,31.0,30.41,30.88,10468.70746
1547852400000.0,30.85,31.24,30.59,31.09,26300.15785
1547866800000.0,31.1,31.24,30.87,30.95,13307.60442
1547881200000.0,30.95,32.92,30.88,32.47,58565.39302
1547895600000.0,32.49,32.59,32.03,32.14,29864.13815
1547910000000.0,32.14,32.53,31.82,32.18,26220.348830000003
1547924400000.0,32.19,32.4,32.06,32.19,15358.19705
1547938800000.0,32.19,32.36,31.83,32.28,14244.269080000002
1547953200000.0,32.27,32.84,32.25,32.78,30881.040360000003
1547967600000.0,32.77,33.2,32.15,32.55,32884.1577
1547982000000.0,32.55,32.6,28.45,30.73,109154.53367
1547996400000.0,30.73,30.83,30.24,30.37,36723.94562
1548010800000.0,30.36,30.85,30.3,30.75,27517.265180000002
1548025200000.0,30.75,30.94,30.55,30.74,12435.03029
1548039600000.0,30.74,30.77,30.34,30.66,17416.199780000006
1548054000000.0,30.66,31.02,30.55,30.83,19887.718740000004
1548068400000.0,30.84,31.22,30.62,30.72,29437.576949999995
1548082800000.0,30.72,30.84,30.5,30.72,15903.48599
1548097200000.0,30.73,30.8,30.38,30.7,12908.72682
1548111600000.0,30.69,31.1,30.68,30.85,14798.91186
1548126000000.0,30.86,30.95,30.29,30.53,28648.4237
1548140400000.0,30.55,30.77,30.3,30.56,10462.49913
1548154800000.0,30.56,31.76,29.48,31.3,83351.3899
1548169200000.0,31.31,31.81,31.18,31.78,43166.78611
1548183600000.0,31.77,32.0,31.32,31.54,21986.94512
1548198000000.0,31.52,31.9,31.36,31.84,10755.76248
1548212400000.0,31.84,31.86,31.37,31.58,14276.3341
1548226800000.0,31.58,31.64,31.24,31.64,15166.338609999999
1548241200000.0,31.63,32.18,31.47,31.78,47636.65652
1548255600000.0,31.78,32.07,31.54,32.0,13950.578080000001
1548270000000.0,32.01,32.02,31.36,31.68,21209.33678
1548284400000.0,31.67,31.76,31.36,31.5,9055.75659
1548298800000.0,31.5,31.55,30.89,31.3,20374.373030000002
1548313200000.0,31.29,31.47,31.21,31.29,7760.80775
1548327600000.0,31.28,32.2,31.19,31.91,28323.586030000002
1548342000000.0,31.93,32.1,31.7,32.03,11734.749939999998
1548356400000.0,32.03,33.1,32.02,32.52,59235.13989
1548370800000.0,32.5,33.0,32.38,32.59,36527.57232
1548385200000.0,32.6,32.83,32.49,32.58,18328.39825
1548399600000.0,32.57,32.75,31.96,32.13,30873.691000000003
1548414000000.0,32.1,32.55,31.97,32.5,30582.190260000003
1548428400000.0,32.49,32.52,32.06,32.14,20596.43164
1548442800000.0,32.13,32.69,31.87,32.65,26603.41789
1548457200000.0,32.64,32.97,32.53,32.94,22627.9834
1548471600000.0,32.94,33.54,32.72,33.29,35835.98789
1548486000000.0,33.29,33.95,33.06,33.61,41549.85298
1548500400000.0,33.61,33.65,33.25,33.48,20645.16304
1548514800000.0,33.5,33.5,32.94,33.07,28531.202869999997
1548529200000.0,33.08,33.16,32.88,33.06,18309.3592
1548543600000.0,33.05,33.2,32.04,33.02,45474.8687
1548558000000.0,33.02,33.05,32.59,32.67,21347.36118
1548572400000.0,32.67,32.79,32.2,32.26,26617.3501
1548586800000.0,32.26,32.5,31.05,32.2,49832.90301
1548601200000.0,32.2,32.77,32.18,32.62,18848.86089
1548615600000.0,32.62,32.91,32.46,32.53,15648.194759999997
1548630000000.0,32.53,32.53,31.55,31.63,40168.34943
1548644400000.0,31.63,31.65,30.51,31.01,62324.57175
1548658800000.0,31.01,31.24,30.61,30.76,38315.40168
1548673200000.0,30.75,30.88,30.5,30.6,52522.17015
1548687600000.0,30.6,30.65,30.0,30.42,49758.49341
1548702000000.0,30.41,30.68,30.2,30.67,16387.848439999998
1548716400000.0,30.66,31.25,30.6,30.72,25463.10529
1548730800000.0,30.73,30.84,30.0,30.43,36467.73107
1548745200000.0,30.43,30.99,29.91,30.63,28879.60653
1548759600000.0,30.64,31.21,30.45,31.09,25129.46431
1548774000000.0,31.09,31.26,30.76,30.86,19884.29503
1548788400000.0,30.86,31.09,30.69,30.72,11567.485960000002
1548802800000.0,30.71,30.96,30.47,30.87,13924.0134
1548817200000.0,30.88,31.15,30.75,30.83,15805.098640000002
1548831600000.0,30.81,31.31,30.67,31.07,15373.77356
1548846000000.0,31.07,31.86,30.87,31.75,50199.49448
1548860400000.0,31.74,31.97,31.59,31.84,19274.29615
1548874800000.0,31.84,31.87,31.48,31.82,11421.25678
1548889200000.0,31.82,32.33,31.65,32.12,27779.896620000003
1548903600000.0,32.12,32.21,31.79,31.92,23532.120430000006
1548918000000.0,31.91,31.97,31.08,31.2,47068.22674
1548932400000.0,31.19,31.62,31.13,31.2,23763.03623
1548946800000.0,31.17,31.45,31.14,31.21,16004.537670000003
1548961200000.0,31.2,31.59,31.12,31.48,17202.28035
1548975600000.0,31.47,31.57,30.7,31.09,32637.749980000004
1548990000000.0,31.07,31.19,30.83,31.16,16619.8344
1549004400000.0,31.16,32.05,30.95,31.9,41033.75945
1549018800000.0,31.92,32.81,31.92,32.38,83836.32794
