unix,open,high,low,close,volume
1552633200000.0,50.85,51.63,50.85,51.34,317.87894
1552647600000.0,51.33,51.68,48.67,51.08,2039.9417899999999
1552662000000.0,51.08,52.15,51.0,51.98,910.22744
1552676400000.0,52.12,52.22,51.65,51.87,478.91995999999995
1552690800000.0,52.05,52.77,51.84,52.63,536.2605900000001
1552705200000.0,52.63,54.24,52.63,53.81,2494.73693
1552719600000.0,53.7,54.89,53.17,54.08,1336.28741
1552734000000.0,54.08,54.21,52.75,53.77,1392.93375
1552748400000.0,53.77,53.79,52.76,53.05,1409.31374
1552762800000.0,53.06,53.56,52.93,53.3,913.60689
1552777200000.0,53.36,53.61,52.3,52.57,908.5011699999999
1552791600000.0,52.31,52.44,51.6,51.94,631.8042
1552806000000.0,51.98,52.45,51.54,52.44,624.79457
1552820400000.0,52.44,52.7,51.85,52.6,466.54157000000004
1552834800000.0,52.55,52.73,52.24,52.37,240.70785
1552849200000.0,52.41,52.69,52.31,52.45,425.59078000000005
1552863600000.0,52.29,53.01,52.27,52.81,560.92814
1552878000000.0,52.62,52.83,51.81,51.99,498.13587
1552892400000.0,51.8,52.19,51.56,52.19,740.8677700000002
1552906800000.0,52.09,52.09,51.27,51.69,730.93111
1552921200000.0,51.7,52.25,51.63,51.9,498.83795999999995
1552935600000.0,51.75,51.96,51.44,51.96,918.7473
1552950000000.0,51.9,52.09,51.7,51.81,311.96684
1552964400000.0,51.99,52.02,51.61,51.91,419.55498
1552978800000.0,51.85,52.38,51.72,52.14,981.67567
1552993200000.0,52.24,52.6,51.97,52.41,1768.08164
1553007600000.0,52.41,54.0,52.29,53.36,2379.79995
1553022000000.0,53.45,53.53,52.49,52.81,863.8508400000001
1553036400000.0,52.82,53.1,52.53,52.54,602.63015
1553050800000.0,52.56,53.59,52.41,53.05,815.3304499999998
1553065200000.0,53.31,54.19,53.2,53.74,2391.98308
1553079600000.0,53.75,54.07,53.23,54.0,1865.59334
1553094000000.0,54.01,54.25,53.85,54.1,1039.3160599999999
1553108400000.0,54.1,54.6,53.96,54.31,972.71225
1553122800000.0,54.33,54.6,53.49,53.81,1462.94548
1553137200000.0,53.84,53.94,53.46,53.58,460.14345
1553151600000.0,53.58,54.06,53.58,53.99,865.5372600000002
1553166000000.0,53.99,54.09,50.0,50.78,3116.97706
1553180400000.0,51.38,52.33,51.12,52.32,1185.6448
1553194800000.0,52.11,52.9,51.82,51.99,534.1884299999999
1553209200000.0,51.91,52.36,51.91,52.15,391.95563
1553223600000.0,52.15,52.43,52.03,52.23,452.97407999999996
1553238000000.0,52.09,52.46,51.83,52.28,352.30107000000004
1553252400000.0,52.13,53.25,52.09,52.78,942.9767699999999
1553266800000.0,52.78,53.12,52.68,52.96,391.96449999999993
1553281200000.0,52.88,53.17,52.71,52.93,1016.7788
1553295600000.0,52.93,52.93,52.29,52.79,316.2917500000001
1553310000000.0,52.9,53.25,52.85,53.22,621.2360799999999
1553324400000.0,53.22,53.22,52.6,52.63,645.5750400000002
1553338800000.0,52.63,52.95,51.93,52.13,2755.58989
1553353200000.0,52.19,52.46,52.17,52.41,304.26447
1553367600000.0,52.47,52.51,52.27,52.51,176.44936
1553382000000.0,52.53,52.89,52.5,52.67,623.3333200000001
1553396400000.0,52.66,52.68,52.29,52.45,407.87876
1553410800000.0,52.47,52.87,52.27,52.43,346.36595
1553425200000.0,52.46,52.86,52.2,52.65,1246.58087
1553439600000.0,52.65,52.78,52.4,52.51,850.88255
1553454000000.0,52.46,52.71,52.2,52.56,341.52662000000004
1553468400000.0,52.5,52.85,52.45,52.67,767.21479
1553482800000.0,52.74,52.92,52.62,52.64,909.9305699999999
1553497200000.0,52.6,52.83,52.14,52.18,996.16846
1553511600000.0,52.34,52.44,52.03,52.44,647.62866
1553526000000.0,52.3,52.3,50.52,50.74,2804.8036399999996
1553540400000.0,50.58,51.19,50.0,51.15,2300.00493
1553554800000.0,51.12,51.42,50.89,51.1,627.6846200000001
1553569200000.0,51.1,51.14,50.24,50.46,1450.3529800000001
1553583600000.0,50.43,50.97,50.05,50.46,689.90065
1553598000000.0,50.41,50.65,49.76,50.54,796.2316999999998
1553612400000.0,50.63,51.71,50.55,50.94,815.5941
1553626800000.0,51.04,51.91,50.61,51.77,1339.78156
1553641200000.0,51.65,52.5,51.62,52.4,900.4130499999999
1553655600000.0,52.34,52.48,52.19,52.2,269.86602
1553670000000.0,52.3,52.92,52.18,52.61,1117.74242
